User-ID;ISBN;Book-Rating;Favorite;Bought
276786;842333533X;0;0;0
276847;347354034X;7;0;0
276847;349912176X;0;0;1
276798;349915398X;0;0;0
276847;359621078X;9;0;0
276847;374661922X;0;1;0
276866;340645724X;3;0;0
276912;000225669X;6;0;0
276925;002542730X;10;0;0
276847;360893541X;10;0;0
276852;055321358X;0;0;0
276762;034544003X;0;0;0
276786;847765011X;0;0;0
276847;344215121X;9;0;0
276869;044020562X;0;0;0
276925;063403541X;6;1;1
276866;345309221X;8;0;0
276925;067172939X;0;0;0
276925;840149236X;5;0;0
276949;349202436X;8;0;0
276939;059035342X;0;0;0
276939;226612269X;9;0;0
277087;843223138X;8;0;0
276925;950491036X;10;0;0
276994;342677609X;5;0;0
276939;844140321X;0;0;0
277143;031286504X;10;0;0
277378;013838939X;0;0;0
277478;006447108X;0;0;0
277478;031287216X;0;0;0
277478;034066049X;0;0;0
277478;080410526X;0;0;0
277478;006008216X;6;0;0
277478;038067470X;7;0;0
277478;059010683X;0;0;0
277478;907433699X;0;0;0
277535;034543739X;7;0;0
277478;014200281X;6;0;0
277478;034540405X;0;0;0
277478;037329140X;0;0;0
277478;042508471X;0;0;0
277478;006105481X;0;0;0
277478;382289642X;7;0;0
277478;904500741X;0;0;0
277681;202010931X;0;0;0
277681;229031465X;7;0;0
277650;185326203X;0;0;0
277714;089296751X;10;0;0
277740;185326086X;10;0;0
277727;345308201X;7;0;0
277929;055357289X;0;0;0
278007;034543479X;8;0;0
278012;006251279X;0;0;0
277929;051511331X;0;0;0
278137;038097570X;0;0;0
278137;044022165X;0;0;0
278137;055325698X;8;0;0
278137;037308918X;0;0;0
278137;043906628X;0;0;0
278137;055328553X;0;0;0
278188;037327291X;5;0;0
278188;038082082X;0;0;0
278188;055324535X;0;0;0
278188;059042503X;0;0;0
278188;067167630X;0;0;0
278188;080410946X;8;0;0
278188;082177574X;7;0;0
278188;089872211X;0;0;0
278188;037316985X;0;0;0
278188;037344186X;0;0;0
278188;042518904X;0;0;0
278137;088419597X;9;0;0
278137;037308935X;8;0;0
278137;059048611X;0;0;0
278188;006440630X;0;0;0
278188;014037423X;0;0;0
278188;039308647X;0;0;0
278188;042510107X;0;0;0
278188;051512219X;0;0;0
278188;059042498X;0;0;0
278188;044022103X;8;0;0
278188;067152500X;0;0;0
278221;157856137X;0;0;0
278221;084990630X;0;0;0
278221;074341702X;7;0;0
278221;078601525X;0;0;0
278221;155661246X;9;0;0
278355;193059609X;0;0;0
278390;044661257X;8;0;0
278390;080410753X;9;0;0
278843;014028009X;8;0;0
278843;059035342X;8;0;0
278851;020148837X;0;0;0
278851;067161746X;7;0;0
278843;067941388X;0;0;0
176;038572179X;0;0;0
183;847223973X;9;0;0
278537;030706087X;0;0;0
278551;044041833X;7;0;0
278720;359625180X;5;0;0
278843;158062748X;0;0;0
278843;082301200X;6;0;0
36;067176537X;0;0;0
183;225314696X;0;0;0
254;006000438X;0;0;0
254;014028009X;0;0;0
254;034543191X;0;0;0
254;038070174X;0;0;0
254;038533348X;0;0;0
254;038542017X;0;0;0
254;043935806X;0;0;0
254;051513287X;0;0;0
254;156389226X;9;0;0
254;156971620X;9;0;0
254;006052779X;0;0;0
254;037307848X;0;0;0
254;037326240X;0;0;0
254;051510521X;0;0;0
254;051512317X;0;0;0
254;059043893X;0;0;0
254;088001380X;0;0;0
254;088396452X;0;0;0
384;156718796X;0;0;0
388;006101351X;6;0;0
254;014143967X;0;0;0
254;014230218X;0;0;0
250;006102063X;0;0;0
254;014100018X;0;0;0
254;034543014X;0;0;0
254;037370951X;0;0;0
254;037582345X;9;0;0
254;038097827X;8;0;0
254;044018293X;0;0;0
254;051788139X;0;0;0
254;067164405X;0;0;0
254;155166500X;0;0;0
345;067153484X;6;0;0
254;067976402X;0;0;0
254;080410753X;0;0;0
254;086140324X;0;0;0
388;039456894X;8;0;0
424;014023828X;0;0;0
643;057120354X;5;0;0
638;039914739X;0;0;0
651;156341029X;8;0;0
712;349913358X;6;0;0
711;185424597X;0;0;0
735;038533334X;4;0;0
805;039592720X;9;0;0
876;034531011X;0;0;0
882;051512768X;0;0;0
805;014016930X;10;0;0
805;038001503X;10;0;0
805;055326382X;0;0;0
876;034531042X;0;0;0
901;014018371X;0;0;0
882;067081976X;0;0;0
882;068416325X;0;0;0
638;067972768X;10;0;0
638;039304016X;0;0;0
638;052594463X;9;0;0
638;080411868X;0;0;0
643;185479549X;8;0;0
685;039914370X;7;0;0
735;044661162X;9;0;0
757;034538184X;8;0;0
850;342670174X;0;0;0
853;034537522X;0;0;0
853;034545829X;9;0;0
805;158574218X;0;0;0
843;006019491X;8;0;0
850;345309221X;0;0;0
882;096444724X;0;0;0
882;039607412X;10;0;0
882;044022425X;0;0;0
882;051509465X;9;0;0
882;067101420X;4;0;0
882;067976402X;10;0;0
882;068713286X;0;0;0
901;014044503X;8;0;0
901;000649840X;9;0;0
902;067102535X;8;0;0
1025;074603010X;9;0;0
1057;038533303X;6;0;0
1025;041619513X;0;0;0
1116;006109594X;7;0;0
1116;031298250X;4;0;0
1131;038533334X;0;0;0
1155;006101253X;7;0;0
1167;038039586X;0;0;0
989;039914739X;0;0;0
1211;014143984X;9;0;0
1025;000636988X;9;0;0
1025;058242092X;7;0;0
1025;068484267X;9;0;0
1096;059040640X;7;0;0
1166;225313922X;9;0;0
1167;038533656X;5;0;0
1211;156476303X;0;0;0
1192;037348397X;0;0;0
1211;226612269X;7;0;0
1309;055357227X;10;0;0
1211;287129478X;9;0;0
1254;089480829X;10;0;0
1211;273811167X;7;0;0
1372;351839987X;0;0;0
1674;014029645X;0;0;0
1548;006093395X;6;0;0
1548;034540288X;5;0;0
1608;042513301X;0;0;0
1733;037383232X;9;0;0
1733;044652767X;0;0;0
1725;844062719X;10;0;0
1733;037330174X;8;0;0
1733;037370836X;0;0;0
1733;051513287X;9;0;0
1733;059035342X;10;0;0
1466;340414578X;0;0;0
1548;076790351X;0;0;0
1608;044023722X;0;0;0
1674;006015456X;0;0;0
1530;044023722X;8;0;0
1548;037541181X;7;0;0
1597;067169071X;7;0;0
1674;055326396X;0;0;0
1674;061830245X;0;0;0
1725;844507119X;10;0;0
1733;037328800X;0;0;0
1733;038075620X;0;0;0
1674;038548951X;10;0;0
1733;037324522X;0;0;0
1733;037325928X;7;0;0
1733;037330157X;0;0;0
1733;037370822X;7;0;0
1733;038076735X;7;0;0
1733;050552435X;10;0;0
1733;055329945X;8;0;0
1733;067179793X;5;0;0
1733;155166450X;8;0;0
1869;081257060X;0;0;0
1848;477001970X;9;0;0
1881;080410882X;4;0;0
2009;051748904X;0;0;0
1965;880781210X;0;0;0
1759;067164257X;8;0;0
1848;034540288X;0;0;0
1790;044022165X;5;0;0
2009;087226002X;7;0;0
2009;071411393X;9;0;0
2030;067084487X;10;0;0
2030;076071150X;0;0;0
2033;048620510X;0;0;0
2033;030768993X;0;0;0
2033;094547069X;0;0;0
2033;156305700X;7;0;0
2033;156402976X;0;0;0
2046;067170091X;0;0;0
2074;844140898X;8;0;0
2012;055356160X;0;0;0
2033;044022165X;0;0;0
2033;051513628X;6;0;0
2033;067086935X;0;0;0
2030;006251279X;10;0;0
2030;044020562X;10;0;0
2030;068483992X;0;0;0
2030;093077356X;0;0;0
2033;043935806X;9;0;0
2084;843396951X;7;0;0
2046;042517736X;0;0;0
2046;067170463X;0;0;0
2179;055357549X;0;0;0
2238;034536662X;10;0;0
2139;080411935X;0;0;0
2179;089281313X;0;0;0
2179;051513287X;0;0;0
2179;055329461X;0;0;0
2179;096265342X;9;0;0
2288;037327372X;0;0;0
2295;156619301X;0;0;0
2313;034545104X;5;0;0
2288;037327369X;0;0;0
2295;156836010X;0;0;0
2288;034539657X;0;0;0
2288;037329168X;0;0;0
2313;080901548X;0;0;0
2358;044175046X;0;0;0
2358;059033560X;6;0;0
2358;080757516X;0;0;0
2358;034524575X;0;0;0
2358;080755393X;0;0;0
2439;044012929X;0;0;0
2442;888183152X;0;0;0
2358;006109398X;0;0;0
2358;037570387X;0;0;0
2358;037570504X;0;0;0
2358;055325636X;7;0;0
2417;051513290X;7;0;0
2439;080215185X;9;0;0
2442;880781076X;10;0;0
2729;881787017X;0;0;0
2597;006018700X;8;0;0
2798;055357230X;0;0;0
2793;074350030X;0;0;0
2945;038548951X;8;0;0
2977;014005264X;4;0;0
2977;031210104X;0;0;0
2793;051513628X;0;0;0
2793;059035342X;0;0;0
2885;055315754X;0;0;0
2977;023399226X;0;0;0
2977;006064205X;5;0;0
2977;006099486X;0;0;0
2977;044021145X;0;0;0
2977;044652087X;0;0;0
2977;068485080X;0;0;0
2977;081297106X;0;0;0
2977;157224223X;0;0;0
3145;002026478X;0;0;0
3145;038000772X;0;0;0
3145;038055111X;0;0;0
3145;044021145X;9;0;0
3145;096558383X;0;0;0
2977;037570504X;5;0;0
2977;067950754X;0;0;0
2977;042518045X;0;0;0
2977;042518403X;0;0;0
2977;055320338X;10;0;0
3145;044661193X;9;0;0
3145;034541103X;0;0;0
3145;043936213X;0;0;0
2977;063118449X;9;0;0
2977;087131794X;0;0;0
3145;067975833X;10;0;0
3346;042507448X;0;0;0
3172;039480001X;10;0;0
3321;067166607X;0;0;0
3346;031286258X;8;0;0
3346;156389470X;10;0;0
3355;843509975X;6;0;0
3363;006098824X;10;0;0
3363;006446735X;0;0;0
3363;013029604X;0;0;0
3363;031020755X;0;0;0
3363;031023008X;0;0;0
3363;006621016X;8;0;0
3363;014027927X;0;0;0
3193;055344171X;5;0;0
3346;044100704X;0;0;0
3346;044100895X;8;0;0
3346;058253531X;0;0;0
3363;002542730X;0;0;0
3363;006447187X;0;0;0
3363;006109028X;0;0;0
3363;014017821X;0;0;0
3363;031226481X;8;0;0
3363;031227999X;0;0;0
3363;038072152X;0;0;0
3363;038533656X;0;0;0
3363;039470780X;9;0;0
3363;037322348X;0;0;0
3363;044022313X;0;0;0
3363;037570504X;0;0;0
3363;039923389X;0;0;0
3363;042517736X;0;0;0
3363;044040150X;0;0;0
3363;051788268X;0;0;0
3363;055323370X;10;0;0
3363;067187098X;0;0;0
3363;068485595X;0;0;0
3363;068806518X;0;0;0
3363;068810004X;0;0;0
3363;051513287X;0;0;0
3363;051757702X;0;0;0
3363;051788576X;0;0;0
3363;059040024X;0;0;0
3363;059055204X;0;0;0
3363;067088698X;0;0;0
3363;067161276X;0;0;0
3363;067945778X;0;0;0
3363;034531221X;0;0;0
3363;034536208X;0;0;0
3363;038072880X;0;0;0
3363;038532331X;0;0;0
3363;038542471X;0;0;0
3363;042515517X;0;0;0
3363;043916589X;0;0;0
3363;043944246X;0;0;0
3363;044022831X;0;0;0
3363;068480302X;0;0;0
3363;068985546X;0;0;0
3363;031227193X;0;0;0
3363;051734582X;0;0;0
3363;059045899X;0;0;0
3363;060980202X;0;0;0
3363;060980619X;0;0;0
3363;037322138X;0;0;0
3363;037325024X;0;0;0
3363;037325041X;0;0;0
3363;037582233X;0;0;0
3363;038071082X;0;0;0
3363;039595777X;0;0;0
3363;044652087X;10;0;0
3363;067165845X;0;0;0
3363;067988341X;0;0;0
3363;068486441X;0;0;0
3363;078180583X;9;0;0
3363;078688360X;0;0;0
3363;084991437X;10;0;0
3363;155874262X;0;0;0
3363;089480829X;0;0;0
3363;155166576X;0;0;0
3363;155874424X;0;0;0
3371;067976402X;0;0;0
3373;006109157X;7;0;0
3373;039914613X;7;0;0
3373;059042856X;3;0;0
3416;843396710X;10;0;0
3363;080411868X;0;0;0
3363;081296683X;0;0;0
3363;084234327X;0;0;0
3363;088101270X;0;0;0
3363;076422249X;0;0;0
3363;080410526X;0;0;0
3363;093872116X;0;0;0
3363;155972126X;0;0;0
3363;185854176X;0;0;0
3363;188517182X;0;0;0
3371;031231616X;0;0;0
3373;006028871X;7;0;0
3373;038548562X;2;0;0
3538;848460246X;6;0;0
3675;055334935X;0;0;0
3675;848300268X;7;0;0
3603;156352600X;8;0;0
3675;849710045X;0;0;0
3538;950151546X;0;0;0
3578;039396647X;10;0;0
3538;840142285X;8;0;0
3538;843396738X;5;0;0
3675;155994806X;8;0;0
3675;843392057X;0;0;0
3613;044041668X;8;0;0
3675;158348826X;0;0;0
3675;847765073X;0;0;0
3693;067100882X;6;0;0
3709;067102423X;10;0;0
3719;051512608X;7;0;0
3675;950491036X;0;0;0
3740;075050059X;0;0;0
3827;042518627X;7;0;0
3798;042515601X;0;0;0
3837;081120958X;8;0;0
3827;034538475X;8;0;0
3827;037326237X;0;0;0
3827;038081658X;10;0;0
3827;044190209X;0;0;0
3768;059044316X;5;0;0
3827;014029628X;6;0;0
3827;015201800X;6;0;0
3827;034544356X;5;0;0
3827;038533303X;10;0;0
3827;044144525X;0;0;0
3827;087951602X;6;0;0
3827;158005059X;10;0;0
3865;038079487X;7;0;0
3917;031205436X;10;0;0
3876;380062236X;10;0;0
3954;055357342X;0;0;0
3991;044023722X;0;0;0
3917;038533348X;7;0;0
4098;006098726X;9;0;0
4098;067104155X;7;0;0
4098;068483569X;0;0;0
4144;038079960X;0;0;0
4144;067976402X;5;0;0
4223;349961118X;0;0;0
4092;076534128X;6;0;0
4127;156718359X;6;0;0
4092;055357325X;0;0;0
4092;059035342X;0;0;0
4092;088184389X;0;0;0
4144;006101351X;0;0;0
4144;080411918X;0;0;0
4223;325722575X;0;0;0
4385;037309437X;0;0;0
4365;059043344X;0;0;0
4385;037310667X;10;0;0
4385;037319692X;10;0;0
4385;037321703X;0;0;0
4385;037328926X;10;0;0
4385;037329056X;8;0;0
4385;055322039X;0;0;0
4385;037316596X;10;0;0
4385;067178577X;10;0;0
4385;037325668X;10;0;0
4385;037365054X;10;0;0
4385;037370707X;8;0;0
4385;038076864X;0;0;0
4385;051506162X;10;0;0
4385;055329783X;0;0;0
4385;082173427X;10;0;0
4385;037307638X;0;0;0
4385;037310507X;10;0;0
4385;037316954X;10;0;0
4385;037316968X;10;0;0
4385;037316985X;0;0;0
4385;037324343X;10;0;0
4385;037329011X;10;0;0
4385;037329106X;0;0;0
4385;037370643X;0;0;0
4385;082173718X;0;0;0
4385;084394272X;10;0;0
4518;888645502X;10;0;0
4541;080213825X;0;0;0
4547;884590184X;0;0;0
4622;030680395X;0;0;0
4622;038533494X;0;0;0
4622;080410526X;0;0;0
4547;014062080X;0;0;0
4622;006093090X;4;0;0
4622;031242227X;0;0;0
4622;055321148X;0;0;0
4622;080707103X;0;0;0
4785;038070613X;9;0;0
4385;155166531X;10;0;0
4547;080913960X;6;0;0
4622;034540288X;4;0;0
4769;074341120X;8;0;0
4785;006101351X;5;0;0
4401;155583356X;0;0;0
4420;347354034X;9;0;0
4622;044840172X;0;0;0
4785;014019536X;5;0;0
4785;061810450X;0;0;0
4802;074324396X;0;0;0
4835;014044582X;0;0;0
4900;078686351X;0;0;0
4938;156025551X;8;0;0
4995;060980748X;7;0;0
4795;031242227X;9;0;0
4802;038549081X;0;0;0
4802;042516098X;0;0;0
4802;074993087X;6;0;0
4896;014019536X;0;0;0
4896;043935806X;0;0;0
4896;076071004X;0;0;0
4795;038533334X;0;0;0
4938;006101351X;7;0;0
4938;042513525X;7;0;0
4938;088001072X;0;0;0
5127;880449509X;0;0;0
4875;157586326X;6;0;0
4896;034540002X;0;0;0
4896;059035342X;0;0;0
4896;073870279X;10;0;0
4938;034530988X;0;0;0
4938;067172827X;7;0;0
4938;073870234X;7;0;0
4938;097262421X;5;0;0
5350;312577540X;7;0;0
5350;340413348X;0;0;0
5350;359650547X;0;0;0
5385;055321277X;10;0;0
5207;059035342X;8;0;0
5287;067900856X;5;0;0
5287;155874262X;0;0;0
5170;014038572X;10;0;0
5208;202025462X;8;0;0
5350;186046808X;0;0;0
5383;957131577X;8;0;0
5385;006039241X;5;0;0
5173;846630679X;10;0;0
5207;067187294X;6;0;0
5331;014062225X;0;0;0
5331;044023722X;0;0;0
5350;342310516X;5;0;0
5350;354825621X;8;0;0
5451;067088300X;8;0;0
5483;050552208X;0;0;0
5452;067100767X;0;0;0
5539;034544356X;6;0;0
5543;014011341X;0;0;0
5543;014042346X;0;0;0
5543;014044422X;0;0;0
5543;014070731X;7;0;0
5543;039951743X;7;0;0
5582;014019536X;10;0;0
5582;015696158X;5;0;0
5506;067104754X;0;0;0
5543;155748919X;0;0;0
5582;014028009X;10;0;0
5483;038081448X;0;0;0
5483;042515971X;0;0;0
5483;044915002X;0;0;0
5490;156383121X;5;0;0
5483;067179356X;0;0;0
5490;044808919X;5;0;0
5543;014051290X;0;0;0
5543;031285904X;0;0;0
5543;055357342X;0;0;0
5539;037550303X;0;0;0
5576;059022638X;5;0;0
5582;006093316X;8;0;0
5582;093158079X;10;0;0
5582;044651652X;7;0;0
5609;067163156X;0;0;0
5710;042518689X;0;0;0
5730;088899124X;0;0;0
5582;067973225X;10;0;0
5582;068483183X;9;0;0
5582;087542791X;8;0;0
5582;156333609X;9;0;0
5609;034539092X;0;0;0
5609;037328019X;0;0;0
5609;044021145X;0;0;0
5609;081257639X;0;0;0
5582;068482499X;10;0;0
5582;074340596X;7;0;0
5623;284205461X;0;0;0
5728;055356451X;0;0;0
5627;038073124X;0;0;0
5635;044021145X;0;0;0
5730;088899088X;8;0;0
5903;006098824X;0;0;0
5903;006109868X;0;0;0
5834;344254159X;0;0;0
5899;340460024X;9;0;0
5903;042513699X;0;0;0
5903;067943335X;0;0;0
5971;085045512X;7;0;0
5971;184176311X;9;0;0
5903;015602943X;0;0;0
5903;037570485X;0;0;0
5834;342313111X;0;0;0
5903;038550926X;0;0;0
5830;068416325X;6;0;0
5834;325722933X;0;0;0
5899;000221122X;0;0;0
5899;345308909X;0;0;0
5903;080410753X;0;0;0
